Station,Line,Situation,Y,latitude,longitude,Station_Number,,
Görlitzer Bahnhof,U1,elevated,1902,52.4992535,13.4276166,11,,
Hallesches Tor,U1,elevated,1902,52.4977596,13.390649599999998,8,,
Kottbusser Tor,U1,elevated,1902,52.4989853,13.4183107,10,,
Möckernbrücke,U1,elevated,1902,52.4986927,13.383123000000001,7,,
Prinzenstraße,U1,elevated,1902,52.49839720000001,13.40591,9,,
Schlesisches Tor,U1,elevated,1902,52.5013443,13.4413034,12,,
Warschauer Straße,U1,elevated,1902,52.505014,13.4490065,13,,
Wittenbergplatz,U1,underground,1902,52.5025691,13.3437506,3,,
Bülowstraße,U2,elevated,1902,52.4975858,13.3632209,13,,
Ernst-Reuter-Platz,U2,underground,1902,52.5118853,13.322161300000001,9,,
Nollendorfplatz,U2,elevated,1902,52.499597200000004,13.353729699999999,12,,
Potsdamer Platz,U2,underground,1902,52.5091586,13.3782147,16,,
Wittenbergplatz,U2,underground,1902,52.5025691,13.3437506,11,,
Zoologischer Garten,U2,underground,1902,52.50580625,13.333095318009,10,,
Wittenbergplatz,U3,underground,1902,52.5025691,13.3437506,14,,
Deutsche Oper,U2,underground,1906,52.5121441,13.308377100000001,8,,
Hausvogteiplatz,U2,underground,1908,52.5133502,13.395591,19,,
Kaiserdamm,U2,underground,1908,52.510092099999994,13.283126300000001,5,,
Mohrenstraße,U2,underground,1908,52.5117915,13.385091500000001,17,,
Sophie-Charlotte-Platz,U2,underground,1908,52.510913699999996,13.296330599999997,6,,
Spittelmarkt,U2,underground,1908,52.5112959,13.4041155,20,,
Stadtmitte,U2,underground,1908,52.5121459,13.390563199999999,18,,
Theodor-Heuss-Platz,U2,underground,1908,52.509986899999994,13.272221700000001,4,,
Bayerischer Platz,U4,underground,1910,52.4885755,13.340543599999998,3,,
Innsbrucker Platz,U4,underground,1910,52.478987,13.3436736,1,,
Rathaus Schöneberg,U4,at grade,1910,52.483177299999994,13.341972,2,,
Viktoria-Luise-Platz,U4,underground,1910,52.49622120000001,13.343349100000001,4,,
Gleisdreieck,U1,elevated,1912,52.499526100000004,13.3740318,6,,
Gleisdreieck,U2,elevated,1912,52.499526100000004,13.3740318,14,,
Uhlandstraße,U1,underground,1913,52.5028118,13.326696799999999,1,,
Alexanderplatz,U2,underground,1913,52.52170255,13.4141219493696,23,,
Eberswalder Straße,U2,elevated,1913,52.5415154,13.4121769,26,,
Klosterstraße,U2,underground,1913,52.51723470000001,13.4124323,22,,
Märkisches Museum,U2,underground,1913,52.5123348,13.410175400000002,21,,
